mmsi,vesselName,vesselLength,vesselBeam,vesselDraft,vesselGrossTonnage
366964490,Royal,76.8,16.5,,2045
366978630,American Patriot,35,10.4,,456
366980740,Iberville,76.8,16.5,,2045
366996540,DMO Reveille,11,19,,
367005640,Cheramie BO Truc No.22,50.8,11.6,,195
367021240,St. Louis,76.8,16.5,,2045
367053090,Esplanade,76.8,16.5,,2045
367063560,Lady Lab,,,,
367073150,Abigail Claire,67,16.5,,1659
367078110,Marcelle Bordelon,49.9,11,,498
367079070,Joni,33.6,20.3,,440
367084480,Irene B,49.9,11,,498
367092320,Alissa,32,8,,
367093960,Miss Jessica Faye,37,2,,93
367103120,Taylor,36,7,,
367103140,Marc C,38,8,,
367112160,Sonora,22,6,,
367119570,Miss Claire,47.2,8.5,,193
367144790,Crosby Endeavor,42.7,12.2,,809
367144820,Crosby Moon,39.1,12,,714
367144880,Crosby Odyssey,42.9,12.2,,842
367155210,Deborah,45,11,,
367164070,Mr Blake,45.7,8.5,,299
367171590,Capt Jason,20.3,6.2,,100
367175240,Lady Glenda,45.7,8.5,,294
367179790,Lady Eve,52.4,20,,367
367180890,Miss Kellye Jo,25.6,8.2,,190
367185250,Harvey Hustler,47,8,,
367197410,Candy Counter,51.8,9.1,,359
367300160,Melinda B Adams,48,11,,520
367312120,Randy J,45,15,,
367321740,Candy Factory,51.8,9.1,,357
367321850,Grant,41.1,7.3,,219
367323350,Emily,37,8.2,,250
367323360,Mr Murvin,41.1,8.23,,250
367325730,Wendy,53.8,9.1,,416
367330830,Odyssea Darwin,51.7,13.4,,727
367334320,HOS Mystique,76.2,16.5,,2391
367337960,Galveston,45.7,14,,1348
367338000,Harvey Power,92,19.5,,4458
367342960,Golden State,183,32.2,,29527
367381550,Olivia Grace,32.6,20.3,,761
367383370,Portier1,22,13,,
367387930,Odyssea Defender,58.9,12.2,,870
367388640,Randolph John,46,10,,
367390240,Poppa John,39.9,11,,443
367391810,Harvey Runner,53.3,9,,397
367393920,Southern Belle,51.2,9.8,,385
367411370,Starfleet Viking ,48.8,8.8,,327
367411940,Jessica,42.3,9.1,,318
367420980,Dutchman,46.9,9.1,,347
367426260,Ross Candies,94.3,20,,5371
367430980,HOS Strongline,116.2,22,,5984
367436750,Harvey Eagle,81.1,16.5,,1842
367438530,Captain Peyton P.,49.4,9,,341
367444940,Wildcat,49,10,,309
367461020,Dwight S Ramsay,89,19.5,,3764
367465960,Crosby Carrier,21,10,,
367471840,Fast Giant,54,9.2,,449
367483840,L/B Mobile,31,22,,292
367486440,Fast Goliath,54,9.2,,447
367497660,Delta Power,38.8,10.5,,583
367500230,Michelle,35.1,20.3,,
367504510,GIS Vayda,39.5,11,,439
367504630,George Edward,35,9,,
367507240,Joseph G,48.8,9.1,,339
367514120,LB Robert ,56.4,41.2,,3915
367516920,Harvey Express,68.6,11,,684
367518570,Harvey Intervention,89,19.5,,4381
367524370,Harvey Saint,61.4,14.6,,1158
367531920,Harvey Sailor,61.3,10,,684
367536940,Andi Nicol,50.7,12.2,,612
367543570,Fourcho Runner,15,4,,
367551960,John Paul,26,8,,
367561260,Ella Claire,,,,468
367561320,Mr Roland,20,8,,
367563360,Dutchgirl,37,8,,204
367569850,Leslie Ann,34,8,,
367581960,Isabella Rose,44.5,11,,490
367584050,Jen,41,9,,
367585850,HOS Red Rock,89,19.5,,3911
367585880,HOS Renaissance,89,19.5,,3911
367585910,HOS Carolina,97.4,19.5,,3835
367587920,Harvey Wave,61.4,14,,1158
367590050,Fast Supporter,54,9.2,,449
367595710,Capt. Trey,44.4,11,,441
367596840,HOS Captain,97.4,19.5,,3835
367598250,GIS Flyer,36,9,,
367600580,Canyon Runner,56,10,,
367603350,Roman Ellie,50.6,11,,508
367611250,Rebel,50.6,11,,507
367612320,HOS Black Rock,92.1,19.5,,4551
367612350,HOS BriarWood,92,19.5,,5089
367612510,HOS Crestview,97.4,19.5,,3835
367612530,HOS Carousel,97.4,19.5,,3835
367614560,Isabella Rose,45,11,,
367619370,White Tail,61.3,14.6,,1158
367622850,FMS Endurance,62.2,13.4,,1004
367627320,Rockfish,22,17,,195
367627460,Barracuda,25,10,,93
367631960,Riley Claire,52.4,9.1,,360
367634690,Cajun II,61,9.8,,499
367637190,Hayden ,46,9,,317
367640510,Fast Cheetah,58.2,9.8,,491
367640910,Mason G,51.8,9.1,,360
367642980,Capt Elliott McCall,61.6,10.4,,496
367643110,Deep Runner,55,10,,
367643760,HOS Woodland,92,23.2,,5257
367643990,Java,59.4,12.2,,877
367649150,Lacie G Eymard,45,26,,
367653160,Fast Leopard,58.2,9.8,,460
367653540,Stim Star IV,95.1,20.1,,7080
367654810,Kim M Bouchard,45.7,17.7,,1763
367657110,Pecan Island,96,20.1,,4828
367658610,Brooke,91.4,18.3,,3849
367663370,Ram Country,82.3,17.1,,2971
367666910,Cajun IV,61,9.8,,498
367677960,Fast Tiger,61.6,9.8,,496
367682410,Great White,48,33,,
367697010,Columbia,19,7,,
367722840,Glenn Autry,62,10,,484
367724050,Barbara S Badeaux,18,8,,
367726000,M.A.R.S. Titan,42,10.5,,574
367771970,Fast Lion,58.2,9.8,,496
367999860,Crosby Liberty,32.2,9.8,,309
368001000,Grant Candies,89,18,,4150
368223000,Clarence Triche,91.2,18.3,,3242
368240000,Dove,85,19.8,,3534
368242000,Chloe Candies,84.7,18,,4057
368400000,Dino Chouest,106.1,22,,5993
368410000,Fast Viking,54,9.2,,416
368485000,Ingrid,84.7,18.3,,2998
368552000,Norbert Bouziga,84.7,18.3,,2998
368584000,Harvey Spirit,79.3,18.3,,2261
368615000,Nicki Candies,86.9,18.7,,3336
368644000,Forte,51.2,15.9,,1495
369000000,Miss Marilene Tide,92.5,18.8,,4156
369050000,Stim Star III,79.3,17.1,,3191
369193000,Laney Chouest,106.7,22,,5922
369204000,Potter Tide,91.4,18.6,,4298
369293000,Southern Tide,94.2,28.9,,4379
369293000,Loving Tide,65,16,,
369336000,Amber,85.3,18.3,,3045
369494392,Mad Dog,77,47,,
369533000,Lightning,76.8,18.2,,3641
369533000,Odyssea Courage,70.1,14.6,,1342
369638000,Ipanema,54,9.2,,416
538004610,Deepwater Invictus,238,42,,68034
538005061,Ocean Blackhawk,229.2,36,,51732
538005314,Ocean Blackhornet,229.2,36,,51732
566349000,Atlantic Merida,190,32.3,,33010
577358000,Island Venture,159.8,30,,20472
636015039,ENSCO 87,74,61.1,,
636015442,Noble Tom Madden,229.2,36,,50940
993668001,Camo Pipeline Safety,,,,
